lexeme,INF,GER,PRS.PTCP.SG,PRS.PTCP.PL,PST.PTCP.M.SG,PST.PTCP.F.SG,PST.PTCP.M.PL,PST.PTCP.F.PL,IMP.2SG,IMP.1PL,IMP.2PL,PRS.IND.1SG,PRS.IND.2SG,PRS.IND.3SG,PRS.IND.1PL,PRS.IND.2PL,PRS.IND.3PL,PRS.SBJV.1SG,PRS.SBJV.2SG,PRS.SBJV.3SG,PRS.SBJV.1PL,PRS.SBJV.2PL,PRS.SBJV.3PL,IPRF.IND.1SG,IPRF.IND.2SG,IPRF.IND.3SG,IPRF.IND.1PL,IPRF.IND.2PL,IPRF.IND.3PL,IPRF.SBJV.1SG,IPRF.SBJV.2SG,IPRF.SBJV.3SG,IPRF.SBJV.1PL,IPRF.SBJV.2PL,IPRF.SBJV.3PL,PRET.IND.1SG,PRET.IND.2SG,PRET.IND.3SG,PRET.IND.1PL,PRET.IND.2PL,PRET.IND.3PL,FUT.IND.1SG,FUT.IND.2SG,FUT.IND.3SG,FUT.IND.1PL,FUT.IND.2PL,FUT.IND.3PL,COND.1SG,COND.2SG,COND.3SG,COND.1PL,COND.2PL,COND.3PL
essere,'essere,ess'endo,ess'ente,ess'enti,st'ato,st'ata,st'ati,st'ate,s'ii,sj'amo,sj'ate,s'ono,s'ei,'e,sj'amo,sj'ete,s'ono,s'ia,s'ia,s'ia,sj'amo,sj'ate,s'iano,'ero,'eri,'era,erav'amo,erav'ate,'erano,f'ossi,f'ossi,f'osse,f'ossimo,f'oste,f'ossero,f'ui,f'osti,f'u,f'ummo,f'oste,f'urono,sar'o,sar'ai,sar'a,sar'emo,sar'ete,sar'anno,sar'ei,sar'esti,sar'ebbe,sar'emmo,sar'este,sar'ebbero
fare,f'are,fatʃ'endo,fatʃ'ente,fatʃ'enti,f'atto,f'atta,f'atti,f'atte,f'a,fattʃ'amo,f'ate,f'attʃo,f'ai,f'a,fattʃ'amo,f'ate,f'anno,f'attʃa,f'attʃa,f'attʃa,fattʃ'amo,fattʃ'ate,f'attʃano,fatʃ'evo,fatʃ'evi,fatʃ'eva,fatʃev'amo,fatʃev'ate,fatʃ'evano,fatʃ'essi,fatʃ'essi,fatʃ'esse,fatʃ'essimo,fatʃ'este,fatʃ'essero,f'etʃi,fatʃ'esti,f'etʃe,fatʃ'emmo,fatʃ'este,f'etʃero,far'o,far'ai,far'a,far'emo,far'ete,far'anno,far'ei,far'esti,far'ebbe,far'emmo,far'este,far'ebbero
avere,av'ere,av'endo,av'ente,av'enti,av'uto,av'uta,av'uti,av'ute,'abbi,abbj'amo,abbj'ate,'o,'ai,'a,abbj'amo,abbj'ate,'anno,'abbja,'abbja,'abbja,abbj'amo,abbj'ate,'abbjano,av'evo,av'evi,av'eva,avev'amo,avev'ate,av'evano,av'essi,av'essi,av'esse,av'essimo,av'este,av'essero,'ebbi,av'esti,'ebbe,av'emmo,av'este,'ebbero,avr'o,avr'ai,avr'a,avr'emo,avr'ete,avr'anno,avr'ei,avr'esti,avr'ebbe,avr'emmo,avr'este,avr'ebbero
potere,pot'ere,pot'endo,pot'ente,pot'enti,pot'uto,pot'uta,pot'uti,pot'ute,pw'oi,possj'amo,pot'ete,p'osso,pw'oi,pw'o,possj'amo,pot'ete,p'ossono,p'ossa,p'ossa,p'ossa,possj'amo,possj'ate,p'ossano,pot'evo,pot'evi,pot'eva,potev'amo,potev'ate,pot'evano,pot'essi,pot'essi,pot'esse,pot'essimo,pot'este,pot'essero,pot'ei,pot'esti,pot'e,pot'emmo,pot'este,pot'erono,potr'o,potr'ai,potr'a,potr'emo,potr'ete,potr'anno,potr'ei,potr'esti,potr'ebbe,potr'emmo,potr'este,potr'ebbero
dire,d'ire,ditʃ'endo,ditʃ'ente,ditʃ'enti,d'etto,d'etta,d'etti,d'ette,d'i,ditʃ'amo,d'ite,d'iko,d'itʃi,d'itʃe,ditʃ'amo,d'ite,d'ikono,d'ika,d'ika,d'ika,ditʃ'amo,ditʃ'ate,d'ikano,ditʃ'evo,ditʃ'evi,ditʃ'eva,ditʃev'amo,ditʃev'ate,ditʃ'evano,ditʃ'essi,ditʃ'essi,ditʃ'esse,ditʃ'essimo,ditʃ'este,ditʃ'essero,d'issi,ditʃ'esti,d'isse,ditʃ'emmo,ditʃ'este,d'issero,dir'o,dir'ai,dir'a,dir'emo,dir'ete,dir'anno,dir'ei,dir'esti,dir'ebbe,dir'emmo,dir'este,dir'ebbero
dovere,dov'ere,dov'endo,dov'ente,dov'enti,dov'uto,dov'uta,dov'uti,dov'ute,d'evi,dobbj'amo,dov'ete,d'evo,d'evi,d'eve,dobbj'amo,dov'ete,d'evono,d'eva,d'eva,d'eva,dobbj'amo,dobbj'ate,d'evano,dov'evo,dov'evi,dov'eva,dovev'amo,dovev'ate,dov'evano,dov'essi,dov'essi,dov'esse,dov'essimo,dov'este,dov'essero,dov'etti,dov'esti,dov'ette,dov'emmo,dov'este,dov'ettero,dovr'o,dovr'ai,dovr'a,dovr'emo,dovr'ete,dovr'anno,dovr'ei,dovr'esti,dovr'ebbe,dovr'emmo,dovr'este,dovr'ebbero
volere,vol'ere,vol'endo,vol'ente,vol'enti,vol'uto,vol'uta,vol'uti,vol'ute,vw'oi,voʎʎ'amo,vol'ete,v'oʎʎo,vw'oi,vw'ole,voʎʎ'amo,vol'ete,v'oʎʎono,v'oʎʎa,v'oʎʎa,v'oʎʎa,voʎʎ'amo,voʎʎ'ate,v'oʎʎano,vol'evo,vol'evi,vol'eva,volev'amo,volev'ate,vol'evano,vol'essi,vol'essi,vol'esse,vol'essimo,vol'este,vol'essero,v'olli,vol'esti,v'olle,vol'emmo,vol'este,v'ollero,vorr'o,vorr'ai,vorr'a,vorr'emo,vorr'ete,vorr'anno,vorr'ei,vorr'esti,vorr'ebbe,vorr'emmo,vorr'este,vorr'ebbero
andare,and'are,and'ando,and'ante,and'anti,and'ato,and'ata,and'ati,and'ate,v'a,andj'amo,and'ate,v'ado,v'ai,v'a,andj'amo,and'ate,v'anno,v'ada,v'ada,v'ada,andj'amo,andj'ate,v'adano,and'avo,and'avi,and'ava,andav'amo,andav'ate,and'avano,and'assi,and'assi,and'asse,and'assimo,and'aste,and'assero,and'ai,and'asti,and'o,and'ammo,and'aste,and'arono,andr'o,andr'ai,andr'a,andr'emo,andr'ete,andr'anno,andr'ei,andr'esti,andr'ebbe,andr'emmo,andr'este,andr'ebbero
stare,st'are,st'ando,st'ante,st'anti,st'ato,st'ata,st'ati,st'ate,st'a,stj'amo,st'ate,st'o,st'ai,st'a,stj'amo,st'ate,st'anno,st'ia,st'ia,st'ia,stj'amo,stj'ate,st'iano,st'avo,st'avi,st'ava,stav'amo,stav'ate,st'avano,st'essi,st'essi,st'esse,st'essimo,st'este,st'essero,st'etti,st'esti,st'ette,st'emmo,st'este,st'ettero,star'o,star'ai,star'a,star'emo,star'ete,star'anno,star'ei,star'esti,star'ebbe,star'emmo,star'este,star'ebbero
vedere,ved'ere,ved'endo,ved'ente,ved'enti,v'isto,v'ista,v'isti,v'iste,v'edi,vedj'amo,ved'ete,v'edo,v'edi,v'ede,vedj'amo,ved'ete,v'edono,v'eda,v'eda,v'eda,vedj'amo,vedj'ate,v'edano,ved'evo,ved'evi,ved'eva,vedev'amo,vedev'ate,ved'evano,ved'essi,ved'essi,ved'esse,ved'essimo,ved'este,ved'essero,v'idi,ved'esti,v'ide,ved'emmo,ved'este,v'idero,vedr'o,vedr'ai,vedr'a,vedr'emo,vedr'ete,vedr'anno,vedr'ei,vedr'esti,vedr'ebbe,vedr'emmo,vedr'este,vedr'ebbero
sapere,sap'ere,sap'endo,sap'ente,sap'enti,sap'uto,sap'uta,sap'uti,sap'ute,s'appi,sappj'amo,sappj'ate,s'o,s'ai,s'a,sappj'amo,sap'ete,s'anno,s'appja,s'appja,s'appja,sappj'amo,sappj'ate,s'appjano,sap'evo,sap'evi,sap'eva,sapev'amo,sapev'ate,sap'evano,sap'essi,sap'essi,sap'esse,sap'essimo,sap'este,sap'essero,s'eppi,sap'esti,s'eppe,sap'emmo,sap'este,s'eppero,sapr'o,sapr'ai,sapr'a,sapr'emo,sapr'ete,sapr'anno,sapr'ei,sapr'esti,sapr'ebbe,sapr'emmo,sapr'este,sapr'ebbero
dare,d'are,d'ando,d'ante,d'anti,d'ato,d'ata,d'ati,d'ate,d'a,dj'amo,d'ate,d'o,d'ai,d'a,dj'amo,d'ate,d'anno,d'ia,d'ia,d'ia,dj'amo,dj'ate,d'iano,d'avo,d'avi,d'ava,dav'amo,dav'ate,d'avano,d'essi,d'essi,d'esse,d'essimo,d'este,d'essero,dj'edi,d'esti,dj'ede,d'emmo,d'este,dj'edero,dar'o,dar'ai,dar'a,dar'emo,dar'ete,dar'anno,dar'ei,dar'esti,dar'ebbe,dar'emmo,dar'este,dar'ebbero
trovare,trov'are,trov'ando,trov'ante,trov'anti,trov'ato,trov'ata,trov'ati,trov'ate,tr'ova,trovj'amo,trov'ate,tr'ovo,tr'ovi,tr'ova,trovj'amo,trov'ate,tr'ovano,tr'ovi,tr'ovi,tr'ovi,trovj'amo,trovj'ate,tr'ovino,trov'avo,trov'avi,trov'ava,trovav'amo,trovav'ate,trov'avano,trov'assi,trov'assi,trov'asse,trov'assimo,trov'aste,trov'assero,trov'ai,trov'asti,trov'o,trov'ammo,trov'aste,trov'arono,trover'o,trover'ai,trover'a,trover'emo,trover'ete,trover'anno,trover'ei,trover'esti,trover'ebbe,trover'emmo,trover'este,trover'ebbero
mettere,m'ettere,mett'endo,mett'ente,mett'enti,m'esso,m'essa,m'essi,m'esse,m'etti,mettj'amo,mett'ete,m'etto,m'etti,m'ette,mettj'amo,mett'ete,m'ettono,m'etta,m'etta,m'etta,mettj'amo,mettj'ate,m'ettano,mett'evo,mett'evi,mett'eva,mettev'amo,mettev'ate,mett'evano,mett'essi,mett'essi,mett'esse,mett'essimo,mett'este,mett'essero,m'izi,mett'esti,m'ize,mett'emmo,mett'este,m'izero,metter'o,metter'ai,metter'a,metter'emo,metter'ete,metter'anno,metter'ei,metter'esti,metter'ebbe,metter'emmo,metter'este,metter'ebbero
parlare,parl'are,parl'ando,parl'ante,parl'anti,parl'ato,parl'ata,parl'ati,parl'ate,p'arla,parlj'amo,parl'ate,p'arlo,p'arli,p'arla,parlj'amo,parl'ate,p'arlano,p'arli,p'arli,p'arli,parlj'amo,parlj'ate,p'arlino,parl'avo,parl'avi,parl'ava,parlav'amo,parlav'ate,parl'avano,parl'assi,parl'assi,parl'asse,parl'assimo,parl'aste,parl'assero,parl'ai,parl'asti,parl'o,parl'ammo,parl'aste,parl'arono,parler'o,parler'ai,parler'a,parler'emo,parler'ete,parler'anno,parler'ei,parler'esti,parler'ebbe,parler'emmo,parler'este,parler'ebbero
