cell_id,unimorph
inf,V;NFIN
ger,V.CVB;PRS
prs.ptcp.sg,V.PTCP;PRS;SG
prs.ptcp.pl,V.PTCP;PRS;PL
pst.ptcp.m.sg,V.PTCP;PST;MASC;SG
pst.ptcp.f.sg,V.PTCP;PST;FEM;SG
pst.ptcp.m.pl,V.PTCP;PST;MASC;PL
pst.ptcp.f.pl,V.PTCP;PST;FEM;PL
imp.2.sg,V;POS;IMP;2;SG
imp.1.pl,V;POS;IMP;1;PL
imp.2.pl,V;POS;IMP;2;PL
prs.ind.1.sg,V;IND;PRS;1;SG
prs.ind.2.sg,V;IND;PRS;2;SG
prs.ind.3.sg,V;IND;PRS;3;SG
prs.ind.1.pl,V;IND;PRS;1;PL
prs.ind.2.pl,V;IND;PRS;2;PL
prs.ind.3.pl,V;IND;PRS;3;PL
prs.sbjv.1.sg,V;SBJV;PRS;1;SG
prs.sbjv.2.sg,V;SBJV;PRS;2;SG
prs.sbjv.3.sg,V;SBJV;PRS;3;SG
prs.sbjv.1.pl,V;SBJV;PRS;1;PL
prs.sbjv.2.pl,V;SBJV;PRS;2;PL
prs.sbjv.3.pl,V;SBJV;PRS;3;PL
iprf.ind.1.sg,V;IND;PST;1;SG;IPFV
iprf.ind.2.sg,V;IND;PST;2;SG;IPFV
iprf.ind.3.sg,V;IND;PST;3;SG;IPFV
iprf.ind.1.pl,V;IND;PST;1;PL;IPFV
iprf.ind.2.pl,V;IND;PST;2;PL;IPFV
iprf.ind.3.pl,V;IND;PST;3;PL;IPFV
iprf.sbjv.1.sg,V;SBJV;PST;1;SG
iprf.sbjv.2.sg,V;SBJV;PST;2;SG
iprf.sbjv.3.sg,V;SBJV;PST;3;SG
iprf.sbjv.1.pl,V;SBJV;PST;1;PL
iprf.sbjv.2.pl,V;SBJV;PST;2;PL
iprf.sbjv.3.pl,V;SBJV;PST;3;PL
pret.ind.1.sg,V;IND;PST;1;SG;PFV
pret.ind.2.sg,V;IND;PST;2;SG;PFV
pret.ind.3.sg,V;IND;PST;3;SG;PFV
pret.ind.1.pl,V;IND;PST;1;PL;PFV
pret.ind.2.pl,V;IND;PST;2;PL;PFV
pret.ind.3.pl,V;IND;PST;3;PL;PFV
fut.ind.1.sg,V;IND;FUT;1;SG
fut.ind.2.sg,V;IND;FUT;2;SG
fut.ind.3.sg,V;IND;FUT;3;SG
fut.ind.1.pl,V;IND;FUT;1;PL
fut.ind.2.pl,V;IND;FUT;2;PL
fut.ind.3.pl,V;IND;FUT;3;PL
cond.1.sg,V;COND;1;SG
cond.2.sg,V;COND;2;SG
cond.3.sg,V;COND;3;SG
cond.1.pl,V;COND;1;PL
cond.2.pl,V;COND;2;PL
cond.3.pl,V;COND;3;PL
