cell_id,unimorph,frequency_treebanks
inf,V;NFIN,14854.0
ger,V.CVB;PRS,1935.0
prs.ptcp.sg,V.PTCP;PRS;SG,285.0
prs.ptcp.pl,V.PTCP;PRS;PL,356.0
pst.ptcp.m.sg,V.PTCP;PST;MASC;SG,10871.0
pst.ptcp.f.sg,V.PTCP;PST;FEM;SG,3506.0
pst.ptcp.m.pl,V.PTCP;PST;MASC;PL,2999.0
pst.ptcp.f.pl,V.PTCP;PST;FEM;PL,1816.0
imp.2.sg,V;POS;IMP;2;SG,700.0
imp.1.pl,V;POS;IMP;1;PL,203.0
imp.2.pl,V;POS;IMP;2;PL,255.0
prs.ind.1.sg,V;IND;PRS;1;SG,2170.0
prs.ind.2.sg,V;IND;PRS;2;SG,561.0
prs.ind.3.sg,V;IND;PRS;3;SG,13150.0
prs.ind.1.pl,V;IND;PRS;1;PL,855.0
prs.ind.2.pl,V;IND;PRS;2;PL,200.0
prs.ind.3.pl,V;IND;PRS;3;PL,4553.0
prs.sbjv.1.sg,V;SBJV;PRS;1;SG,42.0
prs.sbjv.2.sg,V;SBJV;PRS;2;SG,5.0
prs.sbjv.3.sg,V;SBJV;PRS;3;SG,550.0
prs.sbjv.1.pl,V;SBJV;PRS;1;PL,7.0
prs.sbjv.2.pl,V;SBJV;PRS;2;PL,2.0
prs.sbjv.3.pl,V;SBJV;PRS;3;PL,234.0
iprf.ind.1.sg,V;IND;PST;1;SG;IPFV,143.0
iprf.ind.2.sg,V;IND;PST;2;SG;IPFV,13.0
iprf.ind.3.sg,V;IND;PST;3;SG;IPFV,1124.0
iprf.ind.1.pl,V;IND;PST;1;PL;IPFV,44.0
iprf.ind.2.pl,V;IND;PST;2;PL;IPFV,1.0
iprf.ind.3.pl,V;IND;PST;3;PL;IPFV,445.0
iprf.sbjv.1.sg,V;SBJV;PST;1;SG,15.0
iprf.sbjv.2.sg,V;SBJV;PST;2;SG,4.0
iprf.sbjv.3.sg,V;SBJV;PST;3;SG,185.0
iprf.sbjv.1.pl,V;SBJV;PST;1;PL,11.0
iprf.sbjv.2.pl,V;SBJV;PST;2;PL,1.0
iprf.sbjv.3.pl,V;SBJV;PST;3;PL,57.0
pret.ind.1.sg,V;IND;PST;1;SG;PFV,109.0
pret.ind.2.sg,V;IND;PST;2;SG;PFV,
pret.ind.3.sg,V;IND;PST;3;SG;PFV,1182.0
pret.ind.1.pl,V;IND;PST;1;PL;PFV,10.0
pret.ind.2.pl,V;IND;PST;2;PL;PFV,
pret.ind.3.pl,V;IND;PST;3;PL;PFV,239.0
fut.ind.1.sg,V;IND;FUT;1;SG,126.0
fut.ind.2.sg,V;IND;FUT;2;SG,34.0
fut.ind.3.sg,V;IND;FUT;3;SG,1071.0
fut.ind.1.pl,V;IND;FUT;1;PL,183.0
fut.ind.2.pl,V;IND;FUT;2;PL,27.0
fut.ind.3.pl,V;IND;FUT;3;PL,384.0
cond.1.sg,V;COND;1;SG,86.0
cond.2.sg,V;COND;2;SG,17.0
cond.3.sg,V;COND;3;SG,292.0
cond.1.pl,V;COND;1;PL,12.0
cond.2.pl,V;COND;2;PL,10.0
cond.3.pl,V;COND;3;PL,69.0
